"Rooms","Distance","Postcode","Bedroom2","Bathroom","Car","Landsize","BuildingArea","YearBuilt","Suburb_Hadfield","Suburb_Abbotsford","Suburb_HeidelbergWest","Suburb_NorthMelbourne","Suburb_OakleighSouth","Suburb_CoburgNorth","Suburb_Murrumbeena","Suburb_HeidelbergHeights","Suburb_Malvern","Suburb_Moorabbin","Suburb_SouthMelbourne","Suburb_Ashburton","Suburb_Rosanna","Suburb_BrunswickEast","Suburb_Niddrie","Suburb_Maidstone","Suburb_AirportWest","Suburb_FitzroyNorth","Suburb_Bulleen","Suburb_Ormond","Suburb_Strathmore","Suburb_SunshineNorth","Suburb_WestFootscray","Suburb_AvondaleHeights","Suburb_Fawkner","Suburb_AltonaNorth","Suburb_Armadale","Suburb_Burwood","Suburb_Williamstown","Suburb_Melbourne","Suburb_SunshineWest","Suburb_Ivanhoe","Suburb_TemplestoweLower","Suburb_BrunswickWest","Suburb_KeilorEast","Suburb_HawthornEast","Suburb_Prahran","Suburb_SurreyHills","Suburb_Kensington","Suburb_Sunshine","Suburb_Toorak","Suburb_Elwood","Suburb_Maribyrnong","Suburb_Newport","Suburb_Doncaster","Suburb_AscotVale","Suburb_Footscray","Suburb_MooneePonds","Suburb_Thornbury","Suburb_Hampton","Suburb_Yarraville","Suburb_Balwyn","Suburb_MalvernEast","Suburb_Camberwell","Suburb_Carnegie","Suburb_PortMelbourne","Suburb_Bentleigh","Suburb_PascoeVale","Suburb_BrightonEast","Suburb_Hawthorn","Suburb_BalwynNorth","Suburb_Coburg","Suburb_Northcote","Suburb_Kew","Suburb_Brighton","Suburb_Glenroy","Suburb_GlenIris","Suburb_Essendon","Suburb_Brunswick","Suburb_SouthYarra","Suburb_StKilda","Suburb_Preston","Suburb_Richmond","Suburb_BentleighEast","Suburb_Reservoir","Type_u","Type_h","Method_SP","Method_PI","Method_S","SellerG_Rendina","SellerG_Raine","SellerG_Love","SellerG_Douglas","SellerG_Williams","SellerG_Village","SellerG_Stockdale","SellerG_Kay","SellerG_Hodges","SellerG_McGrath","SellerG_Noel","SellerG_Gary","SellerG_Jas","SellerG_Miles","SellerG_Greg","SellerG_Sweeney","SellerG_RT","SellerG_Fletchers","SellerG_Woodards","SellerG_Brad","SellerG_Biggin","SellerG_Ray","SellerG_Buxton","SellerG_Marshall","SellerG_Barry","SellerG_hockingstuart","SellerG_Jellis","SellerG_Nelson","CouncilArea_Monash","CouncilArea_Whitehorse","CouncilArea_Manningham","CouncilArea_Brimbank","CouncilArea_HobsonsBay","CouncilArea_Bayside","CouncilArea_Melbourne","CouncilArea_Banyule","CouncilArea_PortPhillip","CouncilArea_Yarra","CouncilArea_Maribyrnong","CouncilArea_Stonnington","CouncilArea_GlenEira","CouncilArea_Darebin","CouncilArea_MooneeValley","CouncilArea_Moreland","CouncilArea_Boroondara","CouncilArea_"
1,2.5,3067,1,1,1,0,143.047189660355,1961.04608536266,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,2.5,3067,2.78618035803915,1.49924711393676,1.51062405889242,452.447756195579,143.047189660355,1961.04608536266,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2.5,3067,2.78618035803915,1.49924711393676,1.51062405889242,452.447756195579,143.047189660355,1961.04608536266,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,2.5,3067,2.78618035803915,1.49924711393676,1.51062405889242,452.447756195579,143.047189660355,1961.04608536266,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,2.5,3067,2,1,1,138,105,1890,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,2.5,3067,3,2,2,0,143.047189660355,2010,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,2.5,3067,3,2,2,4290,27,1961.04608536266,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,2.5,3067,2.78618035803915,1.49924711393676,1.51062405889242,452.447756195579,143.047189660355,1961.04608536266,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2.5,3067,1,1,1,0,143.047189660355,1961.04608536266,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,2.5,3067,2,2,2,98,128,1920,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,2.5,3067,2.78618035803915,1.49924711393676,1.51062405889242,452.447756195579,143.047189660355,1961.04608536266,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2.5,3067,1,1,1,0,50,2013,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
